Rank,Description,Category,Subscribers,Avg Views,Score
1 -,MrBeast,娱乐类,3.67亿  51%,1.85亿  0.3%,
2 -,Cocomelon - Nursery Rhymes,教育类,1.9亿  10.5%,264.03万  16.4%,
3 -,Vlad and Niki,娱乐类,1.34亿  18.6%,264.03万  16%,
4 -,✿ Kids Diana Show,娱乐类,1.31亿  9.2%,378.9万  7.7%,
5 -,Like Nastya,娱乐类,1.26亿  11.5%,1404.63万  4.3%,
6 -,Stokes Twins,人物与博客,1.15亿  321.3%,8166.27万  0.9%,
7 -,WWE,体育类,1.07亿  7%,20.84万  240.2%,
8 -,5-Minute Crafts,日常知识分享,8110万  0.6%,12.63万  5.7%,
9  1,Alan's Universe,娱乐类,8100万  112.6%,1606.77万  17.4%,
10  1,Baby Shark - Pinkfong Kids’ Songs & Stories,教育类,8050万  1.8%,85.72万  26.5%,
11 -,A4,娱乐类,7540万  45.3%,1066.3万  4.6%,
12 -,Toys and Colors,娱乐类,7220万  37.3%,737.55万  100%,
13 -,Mark Rober,科学与技术,6460万  60.3%,5238.09万  0.1%,
14 -,EminemMusic,音乐类,6420万  8.6%,604.9万  0.7%,
15 -,Movieclips,电影与动画,6350万  4.4%,1.04万  42.4%,
16 -,Dude Perfect,体育类,6080万  1.3%,853.19万  0.3%,
17 -,Taylor Swift,音乐类,6070万  6.9%,1216.91万  0.3%,
18 -,LooLoo Kids - Nursery Rhymes and Children's Songs,音乐类,5980万  6.4%,36.37万  2.7%,
19 -,Topper Guild,娱乐类,5870万  106.7%,1048.15万  11.7%,
20 -,Marshmello,音乐类,5770万  1.4%,207.06万  2.9%,
21 -,Billion Surprise Toys,娱乐类,5770万  4%,1.31万  257.9%,
22 -,Ariana Grande,音乐类,5560万  3.7%,183.59万  0.3%,
23 -,Billie Eilish,音乐类,5480万  11.4%,727.23万  0.4%,
24 -,SonyMusicIndiaVEVO,音乐类,5450万  10.3%,404.02万  67.7%,
25 -,Zhong,娱乐类,5270万  58.7%,815.78万  33.9%,
26 -,Masha and The Bear,电影与动画,5060万  8.1%,37.04万  1.7%,
27 -,MrBeast 2,人物与博客,4940万  31%,1274.1万  0%,
28 -,MrBeast Gaming,游戏类,4670万  10.7%,6609.96万  0.4%,
29 -,Katy Perry,音乐类,4590万  2.5%,15.43万  7.2%,
30 -,DaFuq!?Boom!,娱乐类,4520万  14.4%,3497.84万  0.5%,
31 -,Genevieve's Playhouse - Learning Videos for Kids,电影与动画,4510万  15.6%,823.93万  5.3%,
32 -,BRIGHT SIDE,娱乐类,4470万  0.2%,2.27万  9.7%,
33 -,Like Nastya Show,娱乐类,4430万  3%,22.88万  3%,
34 -,Vlad và Niki,娱乐类,4300万  7.2%,392.64万  2.7%,
35 -,TEDx Talks,公益性活动,4250万  11%,440  6.4%,
36 -,Like Nastya ESP,娱乐类,4220万  6%,37.63万  10.7%,
37 -,Zach King,娱乐类,4210万  51.4%,573.57万  9%,
38  1,Little Baby Bum - Nursery Rhymes & Kids Songs,娱乐类,4150万  1.5%,60.39万  56.9%,
39  1,XXXTENTACION,音乐类,4150万  3.8%,335.73万  0.5%,
40 -,Jason Derulo,音乐类,4100万  41.9%,4.32万  43.6%,
41 -,LankyBox,游戏类,4070万  16.3%,56.2万  1.5%,
42 -,Bruno Mars,音乐类,4060万  7.7%,1617.34万  2%,
43 -,LeoNata Family,人物与博客,4050万  23.1%,68.9万  49.5%,
44 -,★ Kids Roma Show,娱乐类,4020万  28.8%,156.94万  0.8%,
45 -,BabyBus - Kids Songs and Cartoons,教育类,4010万  14.9%,17.35万  49.9%,
46 -,Daddy Yankee,音乐类,3980万  3.1%,139.84万  9%,
47 -,Ryan's World,娱乐类,3890万  6.3%,21.09万  22.2%,
48 -,Diana and Roma ESP,娱乐类,3870万  14.2%,59.68万  7.3%,
49 -,Marta and Rustam,搞笑类,3850万  29.2%,222.47万  31%,
50 -,TheEllenShow,娱乐类,3830万  0.3%,1.2万  0.4%,
